,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,number,street,city,district,postcode,latGold,lonGold
2716,9137,9137,9137,96,RUA FREDERICO ESTEBAN JR,SAO PAULO,TREMEMBE,,-23.446779,-46.613172
2717,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
2718,4431,4431,4431,11,RUA LUISA MARIA ROSA,SAO PAULO,ANHANGUERA,,-23.44576,-46.784316
2719,3541,3541,3541,110,RUA MAESTRO ITALO IZZO,SAO PAULO,JAGUARE,,-23.541006,-46.758858
2720,1623,1623,1623,251,RUA AMARO OLIVEIRA LIMA,SAO PAULO,CAMPO LIMPO,,-23.621402,-46.762107
2721,2112,2112,2112,393,RUA DOUTOR ANTONIO BENTO,SAO PAULO,SANTO AMARO,,-23.646856,-46.703132
2722,5030,5030,5030,SN,ESTRADA DO CURUCUTU,SAO PAULO,PARELHEIROS,,-23.87646,-46.633957
2723,5030,5030,5030,SN,ESTRADA DO CURUCUTU,SAO PAULO,PARELHEIROS,,-23.87646,-46.633957
2724,1925,1925,1925,78,LARGO DO SOCORRO,SAO PAULO,SOCORRO,,-23.665799,-46.71274
2725,5360,5360,5360,        77,GUATAMBUS,SAO PAULO,PEDREIRA,,-23.712991,-46.622907
2726,803,803,803,21,RUA NICOLAU LORIN,SAO PAULO,PARELHEIROS,,-23.853512,-46.695767
2727,203,203,203,101,RUA ENRIQUE AMORIM,SAO PAULO,PARELHEIROS,,-23.867041,-46.75333
2728,9962,9962,9962,49,BATUIRA DO CAMPO,SAO PAULO,ERMELINO MATARAZZO,,-23.478662,-46.494123
2729,209,209,209,43,ARUEIRA,SAO PAULO,PARELHEIROS,,-23.860039,-46.713653
2730,11582,11582,11582,        87,MANUEL FELIX DE LIMA,SAO PAULO,JARDIM HELENA,,-23.478051,-46.384025
2731,1843,1843,1843,150,JOSE PEDRO DE CARVALHO LIMA,SAO PAULO,VILA ANDRADE,,-23.623985,-46.72789
2732,10721,10721,10721,2737,AVENIDA DOUTOR JOSE ARTHUR DONA NOVA,SAO PAULO,JARDIM HELENA,,-23.474758,-46.424325
2733,8826,8826,8826,4629,AVENIDA CONCEICAO,SAO PAULO,VILA MEDEIROS,,-23.498214,-46.574143
2734,11419,11419,11419,288,RUA MARGARIDA CARLOS DE ALBUQUERQUE,SAO PAULO,ITAIM PAULISTA,,-23.519861,-46.384899
2735,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2736,946,946,946,233,RUA HENRIQUE MUZZIO,SAO PAULO,GRAJAU,,-23.786954,-46.684709
2737,3563,3563,3563,        98,AVELINO CHAVES,SAO PAULO,LAPA,,-23.53544,-46.727965
2738,516,516,516,387,MOACYR DO AMARAL SANTOS MINISTRO,SAO PAULO,CAPAO REDONDO,,-23.677538,-46.798533
2739,720,720,720,S/N,SINFONIA MILITAR TRAV H,SAO PAULO,PARELHEIROS,,-23.803575,-46.764608
2740,11543,11543,11543,50,ARAMACA,SAO PAULO,JARDIM HELENA,,-23.486967,-46.395571
2741,5360,5360,5360,        77,GUATAMBUS,SAO PAULO,PEDREIRA,,-23.712991,-46.622907
