,Unnamed: 0,IDEND,ID_EDC,ID_LOGRADOURO,SIGLA_TIPO_LOGRADOURO,DESC_TIPO_LOGRADOURO,NOME_LOGRADOURO,NUMERO_IMOVEL,LETRA_IMOVEL,ID_BAIRRO_POPULAR,NUM_BAIRRO_POPULAR,NOME_BAIRRO_POPULAR,ID_BAIRRO_OFICIAL,NUM_BAIRRO_OFICIAL,TIPO_BAIRRO_OFICIAL,NOME_BAIRRO_OFICIAL,ID_REGIONAL,NOME_REGIONAL,CEP,GEOMETRIA,LONGITUDE,LATITUDE
676,713847,00990300026,828777,9903,PCA,PRACA,ENGENHEIRO FLAVIO GUTIERREZ,26,,101,718,Mangabeiras,312,109,Bairro,das Mangabeiras,2,CENTRO-SUL,30210080.0,"(-19.95967598408153, -43.9134227224481)",-19.95967598408153,-43.9134227224481
677,709163,04985000100,802850,49850,RUA,RUA,PROFESSOR OLYNTHO ORSINI,100,,480,1490,Bairro das Indústrias I,219,219,Bairro,das Indústrias,1,BARREIRO,30610030.0,"(-19.959827353793255, -44.010259985094564)",-19.95982735379325,-44.01025998509456
678,216888,10286200208,259405,102862,RUA,RUA,PAMPLONA,208,,307,1311,Conjunto Lagoa,47,342,Conjunto Habitacional,da Lagoa,8,PAMPULHA,31365050.0,"(-19.867570010820938, -43.99879421218447)",-19.867570010820938,-43.99879421218447
679,429732,11745000222,42749,117450,RUA,RUA,LILIANA VELLOSO MELO,222,,33,638,Casa Branca,307,448,Bairro,Mariano de Abreu,3,LESTE,31050030.0,"(-19.893574988716544, -43.88616251334075)",-19.893574988716544,-43.88616251334075
680,229090,07664000047,463450,76640,VIA,VIA,LIGACAO BR DUZENTOS E SESSENTA E DOIS - SABARA,47,,498,1660,Vila da Luz,288,769,Bairro,Goiânia,4,NORDESTE,31970005.0,"(-19.856473361050014, -43.894065741469504)",-19.85647336105001,-43.894065741469504
681,337591,12759300585,136061,127593,RUA,RUA,CHOPOTO,585,,128,748,Pindorama,131,728,Bairro,Pindorama,5,NOROESTE,30880510.0,"(-19.91528919531202, -44.02819884913787)",-19.91528919531202,-44.02819884913787
682,35412,11337400537A,768741,113374,RUA,RUA,SAO PAULO,537,A,84,700,Jaqueline,322,981,Bairro,Jaqueline,6,NORTE,31748214.0,"(-19.79594861065577, -43.936838855176184)",-19.79594861065577,-43.93683885517618
683,713207,30867000038,813995,308670,RUA,RUA,ASSISTENTE,38,,174,799,Serra Verde,264,957,Bairro,Serra Verde,9,VENDA NOVA,31630635.0,"(-19.779019349991735, -43.94939759468115)",-19.77901934999173,-43.94939759468115
684,580851,30119100106,675061,301191,RUA,RUA,DA PAISAGEM,106,,13,618,Belvedere,209,122,Bairro,Belvedere,2,CENTRO-SUL,30320202.0,"(-19.982502853677413, -43.94647018301089)",-19.982502853677413,-43.94647018301089
685,689438,30455502287,876343,304555,EST,ESTRADA,DAS ANTENAS,2287,,9,612,Baleia,245,440,Bairro,da Baleia,3,LESTE,,"(-19.943602974981744, -43.89031482481611)",-19.943602974981744,-43.89031482481611
