number,street,city,latGold,lonGold,id,geoapi_id,request_id,lat,long,accuracy,endereço
101,RUA ENRIQUE AMORIM,SAO PAULO,-23.867041,-46.75333,2927623,OpenRouteService,2927623,-23.866982,-46.755118,0.8,"SP, SAO PAULO, RUA ENRIQUE AMORIM, 101"
101,RUA ENRIQUE AMORIM,SAO PAULO,-23.867041,-46.75333,2927623,MapBox,2927623,-23.8676124,-46.7560816,0.787619,"SP, SAO PAULO, RUA ENRIQUE AMORIM, 101"
101,RUA ENRIQUE AMORIM,SAO PAULO,-23.867041,-46.75333,2927623,Google,2927623,-23.8683448,-46.7567086,,"SP, SAO PAULO, RUA ENRIQUE AMORIM, 101"
13,ALGARD,SAO PAULO,-23.676041,-46.785333,2927624,MapBox,2927624,-23.675909,-46.78537,0.917407,"SP, SAO PAULO, ALGARD, 13"
13,ALGARD,SAO PAULO,-23.676041,-46.785333,2927624,Google,2927624,-23.675973,-46.7852821,,"SP, SAO PAULO, ALGARD, 13"
13,ALGARD,SAO PAULO,-23.676041,-46.785333,2927624,OpenRouteService,2927624,-23.522392,-46.593147,1.0,"SP, SAO PAULO, ALGARD, 13"
13,ALGARD,SAO PAULO,-23.676041,-46.785333,2927624,Here,2927624,-23.6764,-46.78575,1.0,"SP, SAO PAULO, ALGARD, 13"
145,RUA SALVADOR DE PAIVA,SAO PAULO,-23.629279,-46.47421,2927625,Here,2927625,-23.62931,-46.47382,1.0,"SP, SAO PAULO, RUA SALVADOR DE PAIVA, 145"
145,RUA SALVADOR DE PAIVA,SAO PAULO,-23.629279,-46.47421,2927625,MapBox,2927625,-23.629529,-46.475117,0.99,"SP, SAO PAULO, RUA SALVADOR DE PAIVA, 145"
145,RUA SALVADOR DE PAIVA,SAO PAULO,-23.629279,-46.47421,2927625,OpenRouteService,2927625,-23.629266,-46.474123,0.8,"SP, SAO PAULO, RUA SALVADOR DE PAIVA, 145"
145,RUA SALVADOR DE PAIVA,SAO PAULO,-23.629279,-46.47421,2927625,Google,2927625,-23.6290781,-46.47465,,"SP, SAO PAULO, RUA SALVADOR DE PAIVA, 145"
SN,PORTUNHOS,SAO PAULO,-23.754273,-46.677856,2927626,OpenRouteService,2927626,-23.522392,-46.593147,0.8,"SP, SAO PAULO, PORTUNHOS, SN"
SN,PORTUNHOS,SAO PAULO,-23.754273,-46.677856,2927626,Here,2927626,-23.75439,-46.67783,1.0,"SP, SAO PAULO, PORTUNHOS, SN"
SN,PORTUNHOS,SAO PAULO,-23.754273,-46.677856,2927626,MapBox,2927626,-23.5064746,-46.7151526,0.762222,"SP, SAO PAULO, PORTUNHOS, SN"
SN,PORTUNHOS,SAO PAULO,-23.754273,-46.677856,2927626,Google,2927626,-23.690225,-46.673288,,"SP, SAO PAULO, PORTUNHOS, SN"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2927627,Here,2927627,-23.61048,-46.64295,1.0,"SP, SAO PAULO, DOS LIRIOS, 10"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2927627,Google,2927627,-23.5557714,-46.6395571,,"SP, SAO PAULO, DOS LIRIOS, 10"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2927627,OpenRouteService,2927627,-23.522392,-46.593147,1.0,"SP, SAO PAULO, DOS LIRIOS, 10"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2927627,MapBox,2927627,-23.610426,-46.64296,0.99,"SP, SAO PAULO, DOS LIRIOS, 10"
9,UBERLANDIA,SAO PAULO,-23.43684,-46.772988,2927628,Google,2927628,-18.9127749,-48.2755227,,"SP, SAO PAULO, UBERLANDIA, 9"
9,UBERLANDIA,SAO PAULO,-23.43684,-46.772988,2927628,Here,2927628,-23.43654,-46.7714,1.0,"SP, SAO PAULO, UBERLANDIA, 9"
9,UBERLANDIA,SAO PAULO,-23.43684,-46.772988,2927628,OpenRouteService,2927628,-23.522392,-46.593147,1.0,"SP, SAO PAULO, UBERLANDIA, 9"
9,UBERLANDIA,SAO PAULO,-23.43684,-46.772988,2927628,MapBox,2927628,-23.436548,-46.771387,0.917407,"SP, SAO PAULO, UBERLANDIA, 9"
